VehID,int,Hr,link_speed_av,NOx,HC,CO,PM,PN,NO,veh_group
6310_143,450879911,450867387,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_144,450878893,450866369,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_144,450879911,450867387,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_145,450878893,450866369,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_145,450879911,450867387,0,0.0017618754799196797,0.0018459688056091834,0.010930237170069586,3.518520768344954e-5,33648135408.94629,7.860933078625365e-4,car
6310_146,450878893,450866369,0.2083333358168602,0.011745836532797864,0.012306458704061222,0.07286824780046391,2.3456805122299695e-4,224320902726.30862,0.00524062205241691,car
6310_146,450879911,450867387,0.019841270787375312,0.004111042786479253,0.0043072605464214275,0.025503886730162368,8.209881792804893e-5,78512315954.20801,0.0018342177183459185,car
6310_147,450878893,450866369,0.4475308722919888,0.005285626439759039,0.00553790641682755,0.03279071151020876,1.0555562305034863e-4,100944406226.83887,0.0023582799235876096,car
6310_147,450879911,450867387,0,0.006460210093038826,0.006768552287233672,0.04007753629025515,1.2901242817264831e-4,123376496499.46973,0.0028823421288293005,car
6310_147,450879912,450867387,0,0.0017618754799196797,0.0018459688056091834,0.010930237170069586,3.518520768344954e-5,33648135408.94629,7.860933078625365e-4,car
6310_148,450878893,450866369,0,0.012920420186077652,0.013537104574467345,0.0801550725805103,2.5802485634529663e-4,246752992998.93945,0.005764684257658601,car
6310_148,450879911,450867387,0.4027777761220932,0.005872918266398932,0.006153229352030611,0.03643412390023196,1.1728402561149847e-4,112160451363.15431,0.002620311026208455,car
6310_149,450878893,450866369,0.6481481343507767,0.007047501919678719,0.007383875222436734,0.04372094868027834,1.4074083073379817e-4,134592541635.78516,0.003144373231450146,car
6310_149,450879911,450867387,1.1965811986189623,0.013889065311637775,0.00873429179919191,0.05292073622183683,3.414794395827835e-4,384026970773.5367,0.006565730927638948,car
6310_149,450879912,450867387,3.611111164093017,0.005537726613040084,0.002289457846192564,0.014293057291368368,1.4893566422837212e-4,176873773693.12842,0.0026938100342782057,car
6310_150,450878893,450866369,0.8159722208976745,0.03969350344807295,0.026517968502827116,0.16010926963614142,9.596862049320513e-4,1067259735281.8867,0.018664642122794353,car
6310_150,450878894,450866369,4.333333206176758,0.009266888152249242,0.0038196642841110077,0.023868257150433995,2.4877826206833975e-4,295262041467.8544,0.004509119658824477,car
6310_150,450879911,450867387,0.9595959511670199,0.010215911091195363,0.0072099362968349465,0.043415268430185616,2.4246495041429592e-4,266347224994.23456,0.004779571345666049,car
6310_151,450878893,450866369,0,0.005872918266398932,0.006153229352030611,0.03643412390023196,1.1728402561149847e-4,112160451363.15431,0.002620311026208455,car
6310_151,450879911,450867387,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_152,450878893,450866369,2.5511695875933293,0.059921862386333395,0.027801101306457812,0.17188645966627916,0.0015809107300908231,1856521227065.555,0.02895433319876729,car
6310_152,450878894,450866369,4.222222137451172,0.009261109514233461,0.0038190606051738984,0.023861062441161124,2.4869282073039354e-4,295188938662.2224,0.004506112060034082,car
6310_152,450878894,450866370,1.3340192131790114,0.08751797687847894,0.054537399764546524,0.33057760146383314,0.0021584830832434847,2432085283056.052,0.04140257250463485,car
6310_152,450878895,450866370,0.09259259700775146,0.0035237509598393594,0.003691937611218367,0.02186047434013917,7.037041536689908e-5,67296270817.89258,0.001572186615725073,car
6310_152,450878895,450866371,0.2916666686534881,0.005872918266398932,0.006153229352030611,0.03643412390023196,1.1728402561149847e-4,112160451363.15431,0.002620311026208455,car
6310_152,450879911,450867387,0,0.002349167306559573,0.0024612917408122444,0.014573649560092782,4.691361024459939e-5,44864180545.26172,0.001048124410483382,car
6310_153,450878893,450866369,0,0.0017618754799196797,0.0018459688056091834,0.010930237170069586,3.518520768344954e-5,33648135408.94629,7.860933078625365e-4,car
6310_153,450879911,450867387,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_154,450878893,450866369,1.4520202116532759,0.012731709922075004,0.007505445719653554,0.045655361539267005,3.1827736678641467e-4,361812827084.5889,0.0060506354901675155,car
6310_154,450879911,450867387,0.6770833358168602,0.004698334613119146,0.004922583481624489,0.029147299120185564,9.382722048919878e-5,89728361090.52344,0.002096248820966764,car
6310_155,450878893,450866369,0.22222222089767457,0.005872918266398932,0.006153229352030611,0.03643412390023196,1.1728402561149847e-4,112160451363.15431,0.002620311026208455,car
6310_155,450879911,450867387,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_156,450878893,450866369,0.30555555820465086,0.002936459133199466,0.0030766146760153055,0.01821706195011598,5.864201280574924e-5,56080225681.577156,0.0013101555131042274,car
